标签名,标签值,一级分类,二级分类,三级分类,四级分类
稍息,open stance,人物类,动作/表情,腿部,
挡住关键部位的腿,convenient leg,人物类,动作/表情,腿部,
V字张腿,spread legs,人物类,动作/表情,腿部,
用双腿夹住,leg lock,人物类,动作/表情,腿部,
双腿抬起,legs up,人物类,动作/表情,腿部,
双腿交叉站姿,watson cross,人物类,动作/表情,腿部,
膝盖合并，两脚分开,knees together feet apart,人物类,动作/表情,腿部,
膝盖上有动物,animal on lap,人物类,动作/表情,腿部,
手放在自己的膝盖上,hand on own knee,人物类,动作/表情,腿部,
顶起膝盖,knee up,人物类,动作/表情,腿部,
膝盖蜷到胸前,knees on chest,人物类,动作/表情,腿部,
膝盖顶到胸部,knees to chest,人物类,动作/表情,腿部,
鸭子坐,wariza,人物类,动作/表情,腿部,
正坐,seiza,人物类,动作/表情,腿部,
跨坐,straddling,人物类,动作/表情,腿部,
侧身坐,yokozuwari,人物类,动作/表情,腿部,
蹲下，张开双腿,"squatting, open legs",人物类,动作/表情,腿部,
一只膝盖,one knee,人物类,动作/表情,腿部,
下跪,kneeling,人物类,动作/表情,腿部,
四肢着地,all fours,人物类,动作/表情,腿部,
凹版姿势,gravure pose,人物类,动作/表情,腿部,
高踢,high kick,人物类,动作/表情,腿部,
泡脚,soaking feet,人物类,动作/表情,腿部,
面向镜头,facing_viewer,人物类,动作/表情,眼神,
看向镜头,looking_at_viewer,人物类,动作/表情,眼神,
眼神接触,eye-contact,人物类,动作/表情,眼神,
盯着看,eyeball,人物类,动作/表情,眼神,
凝视,staring,人物类,动作/表情,眼神,
回眸,looking_back,人物类,动作/表情,眼神,
人物倾斜,gradient,人物类,动作/表情,眼神,
人物视角向下看↘,looking_down,人物类,动作/表情,眼神,
人物视角抬头看↗,looking_up,人物类,动作/表情,眼神,
面向别处,facing_away,人物类,动作/表情,眼神,
看向侧面,looking_to_the_side,人物类,动作/表情,眼神,
看着别处,looking_away,人物类,动作/表情,眼神,
遥望,looking_afar,人物类,动作/表情,眼神,
向外看,looking_outside,人物类,动作/表情,眼神,
歪头,head_tilt,人物类,动作/表情,眼神,
低头,head_down,人物类,动作/表情,眼神,
照镜子,looking_at_mirror,人物类,动作/表情,眼神,
微笑,smile,人物类,动作/表情,表情,正面情绪
善良的微笑,kind smile,人物类,动作/表情,表情,正面情绪
大笑,laughing,人物类,动作/表情,表情,正面情绪
开心,happy,人物类,动作/表情,表情,正面情绪
露齿咧嘴笑,grin,人物类,动作/表情,表情,正面情绪
咧嘴傻笑,teasing smile,人物类,动作/表情,表情,正面情绪
魅惑的微笑,seductive smile,人物类,动作/表情,表情,正面情绪
自鸣得意的笑,smirk,人物类,动作/表情,表情,正面情绪
咯咯傻笑,giggling,人物类,动作/表情,表情,正面情绪
洋洋得意,smug,人物类,动作/表情,表情,正面情绪
调皮的脸,naughty face,人物类,动作/表情,表情,正面情绪
邪恶笑,evil smile,人物类,动作/表情,表情,正面情绪
疯狂的笑,crazy smile,人物类,动作/表情,表情,正面情绪
快乐|幸福,happy,人物类,动作/表情,表情,正面情绪
生日快乐,happy birthday,人物类,动作/表情,表情,正面情绪
万圣节快乐,happy halloween,人物类,动作/表情,表情,正面情绪
新年快乐,happy new year,人物类,动作/表情,表情,正面情绪
开心的眼泪,happy tears,人物类,动作/表情,表情,正面情绪
情人节快乐,happy valentine,人物类,动作/表情,表情,正面情绪
阿黑颜,ahegao,人物类,动作/表情,表情,负面情绪
忍耐的表情,endured face,人物类,动作/表情,表情,负面情绪
忍耐,restrained,人物类,动作/表情,表情,负面情绪
黑化的,dark persona,人物类,动作/表情,表情,负面情绪
疯狂的,crazy,人物类,动作/表情,表情,负面情绪
筋疲力尽的,exhausted,人物类,动作/表情,表情,负面情绪
傲娇,Tsundere,人物类,动作/表情,表情,负面情绪
病娇,yandere,人物类,动作/表情,表情,负面情绪
多重人格,multiple persona,人物类,动作/表情,表情,负面情绪
颤抖,trembling,人物类,动作/表情,表情,负面情绪
翻白眼(高潮眼）,rolling eyes,人物类,动作/表情,表情,负面情绪
嫉妒,envy,人物类,动作/表情,表情,负面情绪
绝顶,female orgasm,人物类,动作/表情,表情,负面情绪
重呼吸,heavy breathing,人物类,动作/表情,表情,负面情绪
淘气,naughty,人物类,动作/表情,表情,负面情绪
呻吟,moaning,人物类,动作/表情,表情,负面情绪
嫌弃的眼神,scowl,人物类,动作/表情,表情,负面情绪
轻蔑,disdain,人物类,动作/表情,表情,负面情绪
蔑视,contempt,人物类,动作/表情,表情,负面情绪
脸上有阴影，配合蔑视,shaded face,人物类,动作/表情,表情,负面情绪
鄙夷的眼神,jitome,人物类,动作/表情,表情,负面情绪
皱眉/蹙额,wince,人物类,动作/表情,表情,负面情绪
眉头紧锁,furrowed brow,人物类,动作/表情,表情,负面情绪
害怕侧目,fear kubrick,人物类,动作/表情,表情,负面情绪
扬起眉毛,raised eyebrows,人物类,动作/表情,表情,负面情绪
邪恶的,evil,人物类,动作/表情,表情,负面情绪
生闷气,sulking,人物类,动作/表情,表情,负面情绪
尖叫,screaming,人物类,动作/表情,表情,负面情绪
喊叫,shouting,人物类,动作/表情,表情,负面情绪
生气的,angry,人物类,动作/表情,表情,负面情绪
惹恼,annoy,人物类,动作/表情,表情,负面情绪
怒目而视,glaring,人物类,动作/表情,表情,负面情绪
严肃的,serious,人物类,动作/表情,表情,负面情绪
侧头瞪着你,kubrick stare,人物类,动作/表情,表情,负面情绪
伤心,sad,人物类,动作/表情,表情,负面情绪
啜泣,tear,人物类,动作/表情,表情,负面情绪
大哭,crying,人物类,动作/表情,表情,负面情绪
泪如雨下,streaming tears,人物类,动作/表情,表情,负面情绪
睁着眼睛哭,crying with eyes open,人物类,动作/表情,表情,负面情绪
流泪,streaming tears,人物类,动作/表情,表情,负面情绪
泪珠,teardrop,人物类,动作/表情,表情,负面情绪
撕破衣服,tearing clothes,人物类,动作/表情,表情,负面情绪
要哭的表情,tearing up,人物类,动作/表情,表情,负面情绪
眼泪,tears,人物类,动作/表情,表情,负面情绪
擦眼泪,wiping tears,人物类,动作/表情,表情,负面情绪
心情不好,badmood,人物类,动作/表情,表情,负面情绪
不开心的,unamused,人物类,动作/表情,表情,负面情绪
沮丧,frustrated,人物类,动作/表情,表情,负面情绪
沮丧的眉头,frustrated brow,人物类,动作/表情,表情,负面情绪
苦恼的,annoyed,人物类,动作/表情,表情,负面情绪
苦闷,anguish,人物类,动作/表情,表情,负面情绪
叹气,sigh,人物类,动作/表情,表情,负面情绪
忧郁的,gloom,人物类,动作/表情,表情,负面情绪
失望的,disappointed,人物类,动作/表情,表情,负面情绪
绝望,despair,人物类,动作/表情,表情,负面情绪
疼痛,pain,人物类,动作/表情,表情,负面情绪
面无表情,embarrass,人物类,动作/表情,表情,其他
困乏的,sleepy,人物类,动作/表情,表情,其他
喝醉的,drunk,人物类,动作/表情,表情,其他
无聊的,bored,人物类,动作/表情,表情,其他
使困惑,confused,人物类,动作/表情,表情,其他
思考,thinking,人物类,动作/表情,表情,其他
孤独,lonely,人物类,动作/表情,表情,其他
决心的，坚定的,determined,人物类,动作/表情,表情,其他
阴沉脸,shaded,人物类,动作/表情,表情,其他
阴影,shadow,人物类,动作/表情,表情,其他
凝视|盯,staring,人物类,动作/表情,表情,其他
咬紧牙关,clenched teeth,人物类,动作/表情,表情,其他
露出虎牙|露出尖牙,fang out,人物类,动作/表情,表情,其他
尖牙,fangs,人物类,动作/表情,表情,其他
鲨鱼牙|锯齿牙,sharp teeth,人物类,动作/表情,表情,其他
慌张的,flustered,人物类,动作/表情,表情,其他
流汗,sweat,人物类,动作/表情,表情,其他
害怕的,scared,人物类,动作/表情,表情,其他
轻微脸红,light  blush,人物类,动作/表情,表情,其他
脸红,blush,人物类,动作/表情,表情,其他
害羞的,shy,人物类,动作/表情,表情,其他
害羞的(尴尬的),embarrass,人物类,动作/表情,表情,其他
紧张的,nervous,人物类,动作/表情,表情,其他
捂脸,facepalm,人物类,动作/表情,表情,其他
张嘴,open mouth,人物类,动作/表情,表情,嘴型
喘气（张大嘴）,gasping,人物类,动作/表情,表情,嘴型
嘴巴微微张开,Slightly open mouth,人物类,动作/表情,表情,嘴型
波浪嘴,wavy mouth,人物类,动作/表情,表情,嘴型
闭嘴,close mouth,人物类,动作/表情,表情,嘴型
点嘴,dot mouth,人物类,动作/表情,表情,嘴型
堵嘴,gag,人物类,动作/表情,表情,嘴型
啃,gnaw,人物类,动作/表情,表情,嘴型
努嘴,pout,人物类,动作/表情,表情,嘴型
嘴唇张开,parted lips,人物类,动作/表情,表情,嘴型
吃惊,surprised,人物类,动作/表情,表情,嘴型
勒住嘴,bit gag,人物类,动作/表情,表情,嘴型
栗子嘴,chestnut mouth,人物类,动作/表情,表情,嘴型
被封住嘴,cleave gag,人物类,动作/表情,表情,嘴型
闭着的嘴,closed mouth,人物类,动作/表情,表情,嘴型
蒙住的嘴,covered mouth,人物类,动作/表情,表情,嘴型
嘴里有头发,hair in mouth,人物类,动作/表情,表情,嘴型
嘟嘴|抿嘴,homu,人物类,动作/表情,表情,嘴型
用嘴叼着,mouth hold,人物类,动作/表情,表情,嘴型
张开的嘴唇,parted lips,人物类,动作/表情,表情,嘴型
撅起的嘴唇,puckered lips,人物类,动作/表情,表情,嘴型
把嘴画在侧脸,sideways mouth,人物类,动作/表情,表情,嘴型
嘴里含着勺子,spoon in mouth,人物类,动作/表情,表情,嘴型
三角嘴,triangle mouth,人物类,动作/表情,表情,嘴型
唾液,saliva,人物类,动作/表情,表情,嘴型
流口水,drooling,人物类,动作/表情,表情,嘴型
嘴角画着口水滴形状的缺口,mouth drool,人物类,动作/表情,表情,嘴型
翅膀,wings,人物类,道具,翅膀,
蝙蝠翅膀,bat wings,人物类,道具,翅膀,
天使翅膀,feathered wings,人物类,道具,翅膀,
恶魔翅膀,demon wings,人物类,道具,翅膀,
蝴蝶翅膀,butterfly wings,人物类,道具,翅膀,
冰纹理翅膀,ice crystal texture wings,人物类,道具,翅膀,
龙翅膀,dragon wings,人物类,道具,翅膀,
妖精翅膀,fairy wings,人物类,道具,翅膀,
假翅膀,fake wings,人物类,道具,翅膀,
头上翅膀,head wings,人物类,道具,翅膀,
低位翅膀,low wings,人物类,道具,翅膀,
迷你翅膀,mini wings,人物类,道具,翅膀,
分离的翅膀,detached wings,人物类,道具,翅膀,
尾巴,tail,人物类,道具,尾巴,
兔尾,bunny tail,人物类,道具,尾巴,
猫尾,cat tail,人物类,道具,尾巴,
狗尾,dog tail,人物类,道具,尾巴,
鼠尾,mouse tail,人物类,道具,尾巴,
狐狸尾,fox tail,人物类,道具,尾巴,
老虎尾,tiger tail,人物类,道具,尾巴,
松鼠尾,squirrel tail,人物类,道具,尾巴,
狼尾,wolf tail,人物类,道具,尾巴,
龙尾,dragon tail,人物类,道具,尾巴,
马尾巴,horse tail,人物类,道具,尾巴,
浣熊尾,raccoon tail,人物类,道具,尾巴,
牛尾,cow tail,人物类,道具,尾巴,
恶魔尾巴,demon tail,人物类,道具,尾巴,
兽耳,animal ears,人物类,道具,耳朵,
蝙蝠耳,bat ears,人物类,道具,耳朵,
猫耳,cat ears,人物类,道具,耳朵,
狗耳,dog ears,人物类,道具,耳朵,
狐耳,fox ears,人物类,道具,耳朵,
兔耳,bunny ears,人物类,道具,耳朵,
浣熊耳,raccoon ears,人物类,道具,耳朵,
老鼠耳,mouse ears,人物类,道具,耳朵,
松鼠耳,squirrel ears,人物类,道具,耳朵,
熊耳,bear ears,人物类,道具,耳朵,
虎耳,tiger ears,人物类,道具,耳朵,
狼耳,wolf ears,人物类,道具,耳朵,
马耳,horse ears,人物类,道具,耳朵,
牛耳,cow ears,人物类,道具,耳朵,
羊耳,sheep ears,人物类,道具,耳朵,
山羊耳,goat ears,人物类,道具,耳朵,
狮耳,lion ears,人物类,道具,耳朵,
熊猫耳,panda ears,人物类,道具,耳朵,
鹿耳,deer ears,人物类,道具,耳朵,
猴耳,monkey ears,人物类,道具,耳朵,
猪耳,pig ears,人物类,道具,耳朵,
鼬耳,ferret ears,人物类,道具,耳朵,
羊驼耳,alpaca ears,人物类,道具,耳朵,
尖耳,pointy ears,人物类,道具,耳朵,
长尖耳,long pointy ears,人物类,道具,耳朵,
垂耳,floppy ears,人物类,道具,耳朵,
山羊角,goat horns,人物类,道具,角,
羊角,sheep horns,人物类,道具,角,
机械角,mechanical horns,人物类,道具,角,
奶牛角,cow horns,人物类,道具,角,
恶魔之角,demon horns,人物类,道具,角,
断角,broken horn,人物类,道具,角,
龙之角,dragon horns,人物类,道具,角,
大海,ocean,场景,自然,,
海滩,beach,场景,自然,,
湖泊,lake,场景,自然,,
瀑布,waterfall,场景,自然,,
夜空,night_sky,场景,自然,,
星空,starry_sky,场景,自然,,
星云,nebula,场景,自然,,
超级银河,hyper_galaxy,场景,自然,,
星星轨迹,star_trail,场景,自然,,
落日,sunset,场景,自然,,
月亮,moon,场景,自然,,
月牙,crescent,场景,自然,,
新月,crescent_moon,场景,自然,,
满月,full_moon,场景,自然,,
月光,moonlight,场景,自然,,
猩红月亮,scarlet_moon,场景,自然,,
宇宙,universe,场景,自然,,
太空,space,场景,自然,,
星球,planet,场景,自然,,
地平线,horizon,场景,自然,,
多山的地平线,mountainous horizon,场景,自然,,
牧场,pasture,场景,自然,,
高原,plateau,场景,自然,,
花园,garden,场景,自然,,
田园,fields,场景,自然,,
浮岛,floating_island,场景,自然,,
森林,forest,场景,自然,,
草原,grasslands,场景,自然,,
花田,flower field,场景,自然,,
花海,flower ocean,场景,自然,,
火山,volcano,场景,自然,,
悬崖,cliff,场景,自然,,
雪山,snowy mountain,场景,自然,,
春,spring,场景,自然,,
秋,autumn,场景,自然,,
冬,winter,场景,自然,,
夏,summer,场景,自然,,
公园,park,场景,室外,,
吊架；秋千,Trapeze,场景,室外,,
面包店,bakery,场景,室外,,
咖啡厅,cafe,场景,室外,,
植物园,greenhouse,场景,室外,,
城堡,castle,场景,室外,,
竞技场,arena,场景,室外,,
礼堂,Auditorium,场景,室外,,
音乐会,concert,场景,室外,,
书店,bookstore,场景,室外,,
日本旅馆,Japanese_hotel,场景,室外,,
监狱酒吧,jail_bars,场景,室外,,
在电影院里,in_the_movie_theatre,场景,室外,,
舞台,stage,场景,室外,,
港口,harbor,场景,室外,,
赌场,casino,场景,室外,,
台球桌,billiard,场景,室外,,
地牢,dungeon,场景,室外,,
坟墓,grave,场景,室外,,
泰姬陵,Taj_Mahal,场景,室外,,
马丘比丘,Machu_Picchu,场景,室外,,
明石海峡大桥,Akashi_Kaikyo_Bridge,场景,室外,,
东京天空树,Skytree,场景,室外,,
富士山,Fuji_Mountain,场景,室外,,
东京塔,Tokyo_Tower,场景,室外,,
伏见稻荷,fushimi_inari,场景,室外,,
大峡谷,grand_canyon,场景,室外,,
长城,great_wall_of_china,场景,室外,,
希腊_圣托里尼,santorini,场景,室外,,
意大利_威尼斯,venice,场景,室外,,
铁路,railway,场景,室外,,
天际线,city,场景,城市,,
城市风景,cityscape,场景,城市,,
街道,street,场景,城市,,
市中心,downtown,场景,城市,,
人群,crowd,场景,城市,,
小巷,alleyway,场景,城市,,
大道,in_main_street,场景,城市,,
路口,Intersection,场景,城市,,
草坪,lawn,场景,城市,,
路径,path,场景,城市,,
路面,pavement,场景,城市,,
路标,road_sign,场景,城市,,
路障,traffic_cone,场景,城市,,
路灯,lamppost,场景,城市,,
灯柱,lamppost,场景,城市,,
电线杆和电线,power_lines,场景,城市,,
长凳,bench,场景,城市,,
自动贩卖机,vending_machine,场景,城市,,
摩天楼,Skyscraper,场景,城市,,
建筑,magnificent_architecture,场景,建筑,,
摩天楼,Skyscraper,场景,建筑,,
东亚建筑,east_asian_architecture,场景,建筑,,
鸟居/牌坊,torii,场景,建筑,,
大教堂,cathedral,场景,建筑,,
中式阁楼,chinese_style_loft,场景,建筑,,
传统中式客房,traditional_chinese_room,场景,建筑,,
城堡,castle,场景,建筑,,
塔楼,turret,场景,建筑,,
清真寺,mosque,场景,建筑,,
水库,reservoir,场景,建筑,,
铁路,railway,场景,建筑,,
桥,bridge,场景,建筑,,
桥下,under_bridge,场景,建筑,,
遗迹,ruins,场景,建筑,,
废墟堆,remains,场景,建筑,,
建筑废墟,rubble_ruins,场景,建筑,,
室内泳池,indoor pool,场景,室内装饰,,
混合控制台,mixing_console,场景,室内装饰,,
汽车驾驶室内,"car_seat,_seatbelt",场景,室内装饰,,
更衣室,locker_room,场景,室内装饰,,
在泳池边,poolside,场景,室内装饰,,
洗衣店,on laundry,场景,室内装饰,,
在房间内,in the room,场景,室内装饰,,
研究所,on laboratory,场景,室内装饰,,
灯笼环境,lantern_floating,场景,室内装饰,,
豪华房间内,mansion,场景,室内装饰,,
厕所里,on toilet,场景,室内装饰,,
在床上,on_bed,场景,室内装饰,,
在沙发上,on_couch,场景,室内装饰,,
在桌子上,on_desk,场景,室内装饰,,
在巴士内,on_the_bus,场景,室内装饰,,
电车内,on_the_train,场景,室内装饰,,
咖啡厅,cafe,场景,室内装饰,,
居酒屋,Izakaya,场景,室内装饰,,
宴会,banquet,场景,室内装饰,,
木质地板,tile_floor,场景,室内装饰,,
榻榻米,tatami,场景,室内装饰,,
床,bed,场景,室内装饰,,
沙发,safa,场景,室内装饰,,
被炉,kotatsu,场景,室内装饰,,
壁炉,fireplace,场景,室内装饰,,
窗,window,场景,室内装饰,,
窗帘,curtains,场景,室内装饰,,
门,door,场景,室内装饰,,
推拉门,sliding_doors,场景,室内装饰,,
衣架,clothes_rack,场景,室内装饰,,
空调,air_conditioner,场景,室内装饰,,
床单,bed_sheet,场景,室内装饰,,
床垫,futon,场景,室内装饰,,
坐垫,cushion,场景,室内装饰,,
抱枕,pillow_hug,场景,室内装饰,,
毛绒兔子,stuffed_bunny,场景,室内装饰,,
小熊,koakuma,场景,室内装饰,,
单色背景,monochrome_background,场景,背景,,
简单的背景,simple_background,场景,背景,,
无背景|平铺的背景,flats,场景,背景,,
黑色背景,black_background,场景,背景,,
白色背景,white_background,场景,背景,,
透明背景,transparent_background,场景,背景,,
米色背景,beige_background,场景,背景,,
棕色背景,brown_background,场景,背景,,
棕褐色背景,tan_background,场景,背景,,
灰色背景,grey_background,场景,背景,,
双色调背景,two-tone_background,场景,背景,,
渐变的背景,gradient_background,场景,背景,,
多彩的背景,multicolored_background,场景,背景,,
彩虹背景,rainbow_background,场景,背景,,
抽象背景,abstract_background,场景,背景,,
菱形背景,argyle_background,场景,背景,,
方格背景,checkered_background,场景,背景,,
花朵点缀的背景,floral_background,场景,背景,,
网点图背景,halftone_background,场景,背景,,
桃色背景,heart_background,场景,背景,,
蜂窝风格背景,honeycomb_background,场景,背景,,
格子呢背景,plaid_background,场景,背景,,
圆斑背景,striped_background,场景,背景,,
黄石国家公园,yellowstone national park,场景,自然景观,,
大峡谷,grand canyon,场景,自然景观,,
珠穆朗玛峰,mount everest,场景,自然景观,,
大堡礁,great barrier reef,场景,自然景观,,
撒哈拉沙漠,sahara desert,场景,自然景观,,
亚马逊雨林,amazon rainforest,场景,自然景观,,
伊瓜苏大瀑布,iguazu falls,场景,自然景观,,
维多利亚瀑布,victoria falls,场景,自然景观,,
死海,dead sea,场景,自然景观,,
科莫多国家公园,komodo national park,场景,自然景观,,
加拉帕戈斯群岛,galapagos islands,场景,自然景观,,
乞力马扎罗山,mount kilimanjaro,场景,自然景观,,
诺罗威国家公园,norwegian fjords,场景,自然景观,,
巴厘岛,bali,场景,自然景观,,
安第斯山脉,andes,场景,自然景观,,
摩洛哥蓝色小镇,chefchaouen,场景,自然景观,,
澳大利亚珊瑚海,coral sea,场景,自然景观,,
阿尔卑斯山,alps,场景,自然景观,,
巴塔哥尼亚,patagonia,场景,自然景观,,
哈里森湖洞穴,harrison's cave,场景,自然景观,,
泰姬陵,taj mahal,场景,自然景观,,
尼亚加拉大瀑布,niagara falls,场景,自然景观,,
极光,aurora borealis,场景,自然景观,,
喜马拉雅山脉,himalayas,场景,自然景观,,
乌鲁鲁,uluru,场景,自然景观,,
黄金海岸,gold coast,场景,自然景观,,
马尔代夫,maldives,场景,自然景观,,
马丘比丘,machu picchu,场景,自然景观,,
塞尔维亚的德里纳河,drina river,场景,自然景观,,
万里长城,great wall of china,场景,人造景观,,
自由女神像,statue of liberty,场景,人造景观,,
埃菲尔铁塔,eiffel tower,场景,人造景观,,
大本钟,big ben,场景,人造景观,,
白金汉宫,buckingham palace,场景,人造景观,,
圣彼得大教堂,st. peter's basilica,场景,人造景观,,
金门桥,golden gate bridge,场景,人造景观,,
古罗马斗兽场,colosseum,场景,人造景观,,
悉尼歌剧院,sydney opera house,场景,人造景观,,
伦敦眼,london eye,场景,人造景观,,
克里姆林宫,kremlin,场景,人造景观,,
红场,red square,场景,人造景观,,
莫斯科圣瓦西里大教堂,saint basil's cathedral,场景,人造景观,,
比萨斜塔,leaning tower of pisa,场景,人造景观,,
卢浮宫,louvre,场景,人造景观,,
凡尔赛宫,palace of versailles,场景,人造景观,,
尼斯湖,loch ness,场景,人造景观,,
圣保罗大教堂,st. paul's cathedral,场景,人造景观,,
埃德蒙顿购物中心,west edmonton mall,场景,人造景观,,
布拉格城堡,prague castle,场景,人造景观,,
新天鹅堡,neuschwanstein castle,场景,人造景观,,
泰姬陵,taj mahal,场景,人造景观,,
马丘比丘,machu picchu,场景,人造景观,,
克里斯特救世像,christ the redeemer,场景,人造景观,,
巴比伦空中花园,hanging gardens of babylon,场景,人造景观,,
亚历山大灯塔,lighthouse of alexandria,场景,人造景观,,
宙斯神庙,temple of artemis,场景,人造景观,,
摩洛哥蓝色小镇,chefchaouen,场景,人造景观,,
阿尔罕布拉宫,alhambra,场景,人造景观,,
佩特拉古城,petra,场景,人造景观,,
布拉格天文钟,prague astronomical clock,场景,人造景观,,
春秋战国时期的秦始皇兵马俑,terracotta army,场景,人造景观,,
埃及金字塔,egyptian pyramids,场景,人造景观,,
吉萨大金字塔,great pyramid of giza,场景,人造景观,,
斯芬克斯,sphinx,场景,人造景观,,
巴黎圣母院,notre-dame de paris,场景,人造景观,,
威尼斯水城,venice,场景,人造景观,,
阿姆斯特丹运河,amsterdam canals,场景,人造景观,,
巴塞罗那圣家堂,sagrada familia,场景,人造景观,,
米兰大教堂,milan cathedral,场景,人造景观,,
维也纳国家歌剧院,vienna state opera,场景,人造景观,,
比利时布鲁日的布鲁日广场,markt square bruges,场景,人造景观,,
荷兰风车,dutch windmills,场景,人造景观,,
巴塞罗那哥特区,gothic quarter barcelona,场景,人造景观,,
佛罗伦萨大教堂,florence cathedral,场景,人造景观,,
慕尼黑啤酒节,oktoberfest munich,场景,人造景观,,
巴拿马运河,panama canal,场景,人造景观,,
好莱坞标志,hollywood sign,场景,人造景观,,
帝国大厦,empire state building,场景,人造景观,,
自然历史博物馆,natural history museum,场景,人造景观,,
史密森尼博物馆,smithsonian museum,场景,人造景观,,
卢浮宫金字塔,louvre pyramid,场景,人造景观,,
迪士尼乐园,disneyland,场景,人造景观,,
百老汇,broadway,场景,人造景观,,
时代广场,times square,场景,人造景观,,
拉斯维加斯大道,las vegas strip,场景,人造景观,,
旧金山唐人街,chinatown san francisco,场景,人造景观,,
尼亚加拉瀑布,niagara falls,场景,人造景观,,
肯辛顿宫,kensington palace,场景,人造景观,,
伦敦塔桥,tower bridge,场景,人造景观,,
圣马可广场,st. mark's square,场景,人造景观,,
